epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,88236.2,0.60851,0.68928,0.964,0.49647,0.62477,0.5924,0.4351,0.88528,1.31149,1.10277,8.57475e-05,8.57475e-05,8.57475e-05
77,88736.2,0.62482,0.71242,0.97206,0.51381,0.65331,0.58188,0.41466,0.90515,1.38981,1.11539,8.24508e-05,8.24508e-05,8.24508e-05
78,89245.3,0.61691,0.70897,0.96168,0.51288,0.63923,0.58171,0.41386,0.9141,1.43233,1.12134,7.91541e-05,7.91541e-05,7.91541e-05
79,89751.7,0.60178,0.67428,0.95942,0.52215,0.66348,0.59415,0.43233,0.89143,1.37493,1.10544,7.58574e-05,7.58574e-05,7.58574e-05
80,90234.7,0.62532,0.68262,0.96185,0.49541,0.66798,0.59712,0.44274,0.88533,1.37978,1.10055,7.25607e-05,7.25607e-05,7.25607e-05
81,90715.4,0.59406,0.68747,0.95502,0.48793,0.64052,0.59302,0.44484,0.88289,1.39404,1.10507,6.9264e-05,6.9264e-05,6.9264e-05
82,91194.9,0.5937,0.66733,0.95974,0.4696,0.6383,0.58738,0.43888,0.87765,1.42753,1.09794,6.59673e-05,6.59673e-05,6.59673e-05
83,91647.8,0.58804,0.63457,0.95038,0.46467,0.62946,0.59879,0.44458,0.88616,1.42994,1.1012,6.26706e-05,6.26706e-05,6.26706e-05
84,92077.3,0.56916,0.65675,0.94414,0.47564,0.58805,0.58368,0.43435,0.86672,1.43098,1.09015,5.93739e-05,5.93739e-05,5.93739e-05
85,92506.6,0.58532,0.64028,0.96123,0.47981,0.59947,0.57572,0.42747,0.89553,1.44236,1.09896,5.60772e-05,5.60772e-05,5.60772e-05
86,92935.8,0.56857,0.65302,0.93683,0.49019,0.59562,0.58968,0.44171,0.88782,1.3915,1.1007,5.27805e-05,5.27805e-05,5.27805e-05
87,93363.5,0.55215,0.63688,0.9381,0.4942,0.66321,0.60746,0.45664,0.87936,1.37984,1.09979,4.94838e-05,4.94838e-05,4.94838e-05
88,93792.8,0.57195,0.63285,0.93669,0.49467,0.66903,0.60616,0.45723,0.88941,1.41265,1.10781,4.61871e-05,4.61871e-05,4.61871e-05
89,94220.8,0.57375,0.65713,0.94888,0.48321,0.65635,0.59852,0.44469,0.89012,1.43597,1.10986,4.28904e-05,4.28904e-05,4.28904e-05
90,94659,0.56052,0.6463,0.95117,0.46068,0.64596,0.58006,0.43121,0.89094,1.54456,1.11148,3.95937e-05,3.95937e-05,3.95937e-05
91,95093.6,0.5712,0.62631,0.93479,0.50314,0.62233,0.56783,0.40887,0.91816,1.45907,1.1446,3.6297e-05,3.6297e-05,3.6297e-05
92,95524.4,0.56908,0.63479,0.93666,0.51778,0.62659,0.56979,0.41343,0.90304,1.42585,1.13428,3.30003e-05,3.30003e-05,3.30003e-05
93,95951.4,0.52589,0.59025,0.91969,0.50496,0.6103,0.56967,0.41205,0.90277,1.44765,1.12094,2.97036e-05,2.97036e-05,2.97036e-05
94,96380.1,0.51486,0.59329,0.91234,0.50382,0.60477,0.57645,0.42257,0.90535,1.47703,1.1206,2.64069e-05,2.64069e-05,2.64069e-05
95,96804.9,0.53031,0.58983,0.90894,0.51829,0.61012,0.58471,0.42413,0.90577,1.46304,1.12206,2.31102e-05,2.31102e-05,2.31102e-05
96,97231.5,0.53114,0.58867,0.91849,0.52747,0.64497,0.5982,0.43961,0.89076,1.40387,1.11444,1.98135e-05,1.98135e-05,1.98135e-05
97,97659.5,0.51392,0.58363,0.91319,0.53435,0.64853,0.59707,0.44388,0.88866,1.43777,1.11395,1.65168e-05,1.65168e-05,1.65168e-05
98,98085.2,0.50505,0.58082,0.91563,0.52897,0.64537,0.5985,0.44445,0.88811,1.46072,1.11352,1.32201e-05,1.32201e-05,1.32201e-05
99,98512.5,0.48132,0.59951,0.895,0.53428,0.64845,0.59532,0.44792,0.8848,1.4512,1.10936,9.9234e-06,9.9234e-06,9.9234e-06
100,98938.7,0.50734,0.57118,0.90036,0.53153,0.64016,0.59247,0.44322,0.88891,1.47983,1.11202,6.6267e-06,6.6267e-06,6.6267e-06
